區域別,長照推估需求人數(A),長照給付支付服務人數(B),住宿式機構服務(含團屋)使用人數(C),失智未失能及衰弱老人服務人數(D),長照2.0服務使用人數(E=B+C+D),長照需求服務涵蓋率(F=E/A)
總計,860398,505020,123019,61956,689995,80.19%
新北市,141451,68758,19748,9282,97788,69.13%
臺北市,109543,44853,6506,7253,58612,53.51%
桃園市,68456,36420,9941,4622,50983,74.48%
臺中市,89123,58154,12386,4173,74713,83.83%
臺南市,69857,46895,13799,3292,63986,91.60%
高雄市,104110,63897,15560,7158,86615,83.20%
宜蘭縣,17666,11279,3599,3074,17952,101.62%
新竹縣,17282,9268,3058,1261,13587,78.62%
苗栗縣,20943,11956,2235,1564,15755,75.23%
彰化縣,47324,28926,9094,4198,42218,89.21%
南投縣,20567,17011,3439,1538,21988,106.91%
雲林縣,28577,19048,4121,3154,26323,92.11%
嘉義縣,22422,18871,2971,2488,24330,108.51%
屏東縣,33237,26355,6328,2603,35286,106.16%
臺東縣,9139,7865,1444,473,9782,107.04%
花蓮縣,13484,11622,1837,1126,14585,108.17%
澎湖縣,4057,2683,336,408,3427,84.47%
基隆市,14562,6402,1885,1452,9739,66.88%
新竹市,13694,7295,1406,1434,10135,74.01%
嘉義市,9773,5894,3145,1121,10160,103.96%
金門縣,4734,1530,158,250,1938,40.94%
連江縣,397,38,23,32,93,23.43%
